"Record ID","Temperature","Turbidity (cm)","Dissolved Oxygen (mg L-1)","Biochemical Oxygen Demand (mg L-1)","Carbon Dioxide (mg L-1)","pH","Total Alkalinity (mg L-1 as CaCO3)","Total Hardness (mg L-1 as CaCO3)","Calcium (mg L-1)","Estimated Magnesium (mg L-1)","Ammonia (mg L-1)","Nitrite (mg L-1)","Phosphorus (mg L-1)","Hydrogen Sulphide (mg L-1)","Plankton Abundance (No. L-1)","Water Quality Index (WQI)","WQI-Derived Quality Label","WQI-Derived Quality Category","WQI-Derived Aquaculture Suitability Classification","WQI-Derived Aquaculture Suitability Description"
"796","19.222","35.911","1.093","5.047","3.242","8.203","268.550","408.773","84.486","48.036","0.506","0.067","0.212","0.021","2366","61.39","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"797","18.167","15.304","1.058","5.770","5.632","6.921","252.804","152.584","17.458","26.467","0.550","0.050","0.332","0.026","1957","61.83","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"798","19.922","34.539","1.866","6.022","6.064","6.957","281.645","515.241","111.344","57.604","0.508","0.050","0.351","0.025","1441","67.64","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"799","17.984","21.429","1.602","5.114","6.221","6.917","293.180","168.038","15.496","31.410","0.567","0.050","0.275","0.026","1356","66.12","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"800","19.302","22.382","1.978","5.059","6.884","7.042","233.505","486.972","111.017","50.938","0.566","0.050","0.202","0.023","1709","69.37","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"801","19.791","16.265","2.112","5.928","3.288","8.185","114.611","56.411","12.446","6.152","0.503","0.050","0.278","0.026","2579","67.94","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"802","19.810","29.027","1.478","5.052","3.283","8.187","232.282","188.408","30.293","27.384","0.555","0.058","0.202","0.025","1560","63.95","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"803","18.777","16.654","1.321","5.132","3.252","8.199","212.636","479.916","112.284","48.456","0.505","0.059","0.358","0.023","1556","62.98","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"804","18.682","22.894","1.544","5.435","6.718","6.911","256.491","453.384","98.413","50.424","0.506","0.050","0.235","0.026","1973","65.72","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"805","19.572","19.580","1.163","5.085","3.344","8.162","189.841","395.935","92.997","39.758","0.502","0.050","0.378","0.020","1732","62.16","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"806","18.740","18.458","1.093","5.080","3.386","8.145","181.624","83.157","9.486","14.442","0.519","0.050","0.286","0.026","1347","61.66","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"807","18.347","20.030","1.622","5.210","6.990","6.925","114.341","60.379","13.563","6.438","0.501","0.065","0.371","0.026","2259","66.46","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"808","18.790","37.711","1.527","5.372","3.314","8.174","210.054","249.465","50.225","30.125","0.573","0.065","0.201","0.020","2472","63.92","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"809","19.638","15.976","2.050","5.648","3.469","8.112","186.766","95.015","11.917","15.847","0.544","0.056","0.211","0.022","2242","67.83","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"810","18.808","25.229","1.551","6.041","6.191","6.928","105.505","217.334","57.443","17.945","0.535","0.050","0.325","0.023","1796","65.15","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"811","18.865","30.933","2.297","5.311","3.445","8.122","114.685","133.323","33.278","12.197","0.517","0.050","0.317","0.026","1372","70.00","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"812","18.360","24.498","1.753","5.970","4.846","6.903","277.492","493.269","106.023","55.495","0.568","0.050","0.202","0.026","1656","66.34","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"813","18.969","22.812","1.682","5.350","5.334","6.939","245.174","212.980","34.988","30.504","0.560","0.050","0.336","0.021","1738","66.61","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"814","17.528","18.373","1.036","6.004","6.937","7.098","112.986","366.582","96.750","30.354","0.532","0.056","0.346","0.021","1569","62.32","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"815","19.290","25.555","1.702","5.721","3.403","8.139","276.690","268.485","45.229","37.773","0.520","0.050","0.293","0.026","1918","65.37","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"816","19.950","23.188","2.143","5.650","3.483","8.107","179.616","135.986","24.109","18.404","0.511","0.050","0.355","0.026","2198","68.71","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"817","18.465","30.506","1.375","5.649","3.241","8.203","217.377","244.527","47.771","30.414","0.547","0.064","0.334","0.026","1629","62.62","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"818","19.005","17.845","1.329","5.719","6.787","6.924","192.639","147.779","25.321","20.532","0.561","0.053","0.213","0.022","1909","63.71","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"819","17.742","20.126","1.568","5.065","6.645","6.926","105.730","52.273","12.678","5.006","0.501","0.050","0.371","0.025","1979","66.32","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"820","19.221","25.979","1.094","5.090","6.730","7.054","100.110","335.485","90.284","26.723","0.570","0.051","0.201","0.026","2446","63.18","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"821","19.626","21.950","1.559","5.510","6.629","7.040","111.426","44.864","9.802","4.951","0.508","0.050","0.201","0.026","1428","66.33","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"822","17.633","28.568","2.397","5.011","3.348","8.161","103.785","40.959","9.908","3.938","0.544","0.050","0.283","0.026","2165","70.65","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"823","17.943","17.600","2.305","5.329","7.013","6.901","117.295","65.063","14.382","7.079","0.549","0.050","0.234","0.026","2332","70.87","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"824","18.207","16.452","1.433","5.136","6.659","6.980","101.078","124.676","33.007","10.262","0.531","0.050","0.202","0.023","2704","65.39","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"825","18.010","17.519","1.998","5.619","6.772","6.922","100.831","75.037","19.593","6.341","0.542","0.051","0.201","0.026","1456","68.59","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"826","18.265","24.961","2.225","5.309","3.232","8.207","113.383","159.638","40.608","14.143","0.506","0.050","0.349","0.022","2635","69.17","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"827","17.578","17.236","2.117","5.968","6.094","6.930","205.031","473.710","111.760","47.267","0.509","0.064","0.245","0.026","1402","69.23","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"828","18.342","28.355","1.180","5.588","3.376","8.150","220.780","126.956","15.391","21.497","0.567","0.050","0.374","0.026","1744","61.54","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"829","19.727","17.689","2.098","5.199","3.478","8.109","103.910","79.706","20.389","6.992","0.537","0.057","0.201","0.026","2262","68.61","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"830","18.130","17.384","1.449","5.319","3.247","8.201","110.904","50.300","11.355","5.329","0.513","0.062","0.362","0.026","2158","63.64","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"831","19.195","34.897","1.164","5.704","3.226","8.210","274.193","153.184","14.362","28.490","0.566","0.050","0.366","0.025","1246","61.06","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"832","17.799","20.632","1.485","5.917","6.489","6.903","223.816","465.342","106.631","48.345","0.549","0.051","0.340","0.026","2069","64.61","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"833","17.648","16.251","1.702","5.162","3.229","8.208","107.038","387.451","103.311","31.443","0.575","0.060","0.208","0.025","1900","65.21","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"834","17.768","15.650","2.464","5.208","6.784","6.909","249.306","285.419","53.989","36.573","0.547","0.052","0.202","0.026","1610","72.13","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"835","17.597","16.792","1.239","5.801","6.110","6.898","198.953","335.360","75.193","35.843","0.536","0.069","0.201","0.026","1673","62.91","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"836","19.054","20.476","1.440","5.523","3.229","8.208","244.078","345.221","70.992","40.785","0.501","0.050","0.201","0.026","2611","63.51","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"837","18.910","32.410","2.345","5.726","4.771","6.930","102.810","259.351","69.241","20.995","0.540","0.050","0.341","0.026","2638","70.97","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"838","19.302","31.687","1.722","5.135","6.391","6.946","107.206","375.159","99.955","30.493","0.547","0.050","0.282","0.021","1679","67.18","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"839","19.350","15.368","1.416","5.485","3.276","8.190","104.680","380.343","101.745","30.667","0.533","0.052","0.221","0.026","1570","63.27","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"840","17.493","18.988","1.938","5.062","5.544","6.904","171.126","409.330","99.478","39.080","0.550","0.050","0.341","0.024","2140","68.55","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"841","19.741","32.604","2.099","5.859","3.274","8.190","112.940","205.867","53.203","17.732","0.536","0.050","0.308","0.026","2213","67.71","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"842","19.576","18.966","2.435","5.044","3.221","8.212","116.756","365.378","95.849","30.608","0.522","0.050","0.274","0.026","2603","70.77","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"843","17.588","16.459","1.549","5.126","5.298","6.949","110.871","58.684","13.632","5.985","0.543","0.057","0.201","0.021","1321","65.96","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"844","19.081","18.186","1.240","5.535","6.480","6.939","224.741","488.783","112.843","50.271","0.536","0.064","0.326","0.025","2370","63.38","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"845","17.916","26.510","1.063","5.739","3.284","8.186","106.631","57.323","13.909","5.486","0.514","0.050","0.201","0.026","2302","60.70","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"846","18.744","33.669","2.152","5.216","3.377","8.149","156.769","81.062","12.705","11.981","0.550","0.050","0.361","0.025","2513","68.77","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"847","18.628","16.737","1.870","5.073","5.250","6.889","100.000","310.677","83.578","24.765","0.554","0.061","0.348","0.026","1473","67.90","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"848","19.587","19.466","1.364","5.775","6.728","7.013","158.200","341.917","83.178","32.594","0.528","0.068","0.291","0.026","1440","64.38","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"849","18.805","25.745","2.187","5.617","6.109","6.906","282.545","175.914","19.250","31.046","0.552","0.050","0.323","0.025","1768","69.80","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"850","17.600","15.398","1.062","5.507","4.306","7.021","106.955","42.167","9.752","4.326","0.542","0.065","0.323","0.026","1460","62.49","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"851","17.534","34.553","1.329","5.689","3.418","8.133","106.513","245.752","64.991","20.269","0.536","0.050","0.228","0.023","1720","62.73","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"852","17.654","15.659","2.050","5.212","5.683","7.052","114.913","150.177","37.811","13.541","0.541","0.051","0.284","0.026","2235","69.91","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"853","18.570","15.295","1.792","5.703","3.387","8.145","106.593","177.634","46.519","14.929","0.525","0.052","0.222","0.025","1498","65.95","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"854","17.712","24.138","2.167","5.613","6.138","7.081","112.611","46.028","9.937","5.152","0.543","0.062","0.202","0.026","1773","70.41","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"855","18.268","19.735","1.510","5.196","6.292","6.895","246.067","355.401","73.448","41.768","0.546","0.050","0.256","0.026","1266","65.42","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"856","19.169","18.680","1.055","5.119","3.410","8.136","107.614","82.298","20.527","7.538","0.573","0.050","0.202","0.026","2258","61.12","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"857","18.058","19.094","2.057","5.033","3.495","8.102","113.715","59.599","13.447","6.319","0.523","0.050","0.370","0.026","1788","68.63","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"858","19.458","23.822","1.433","5.003","4.128","6.928","268.346","269.917","46.888","37.115","0.547","0.050","0.349","0.026","1351","65.20","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"859","19.363","17.225","1.321","5.684","6.497","6.899","102.684","51.113","12.827","4.634","0.545","0.058","0.347","0.023","2026","63.62","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"860","17.930","16.540","2.249","5.090","3.238","8.205","290.505","161.730","14.194","30.667","0.561","0.063","0.202","0.026","1366","69.17","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"861","19.660","33.639","1.081","5.873","3.259","8.196","226.435","277.893","55.434","33.869","0.511","0.062","0.339","0.024","2162","60.60","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"862","18.127","19.208","1.247","5.568","6.539","6.958","192.786","163.364","29.522","21.770","0.547","0.050","0.250","0.021","2108","63.52","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"863","19.739","18.413","1.473","5.175","3.252","8.199","265.535","147.033","14.015","27.207","0.539","0.050","0.358","0.022","2042","63.89","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"864","19.937","18.725","2.319","5.276","3.488","8.105","108.074","168.424","43.798","14.342","0.509","0.058","0.343","0.025","2051","70.25","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"865","19.881","15.381","1.297","5.545","6.339","7.085","118.062","338.040","88.242","28.582","0.553","0.064","0.201","0.026","1360","64.34","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"866","17.637","36.665","2.200","5.133","5.332","6.933","268.152","216.489","32.438","32.902","0.574","0.050","0.372","0.026","2377","70.33","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"867","19.009","19.433","1.414","5.693","3.456","8.118","103.340","59.271","14.938","5.335","0.544","0.067","0.202","0.022","2024","63.24","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"868","18.165","26.661","1.781","5.456","6.041","6.962","224.807","390.077","86.083","42.527","0.532","0.050","0.291","0.021","1823","67.46","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"869","19.631","18.389","1.963","5.637","6.002","6.953","180.996","141.141","25.295","18.936","0.500","0.050","0.363","0.026","1817","68.69","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"870","18.694","33.837","1.109","5.852","6.454","7.065","115.239","71.213","16.362","7.372","0.572","0.050","0.307","0.026","1365","62.65","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"871","18.872","20.089","1.496","5.868","6.668","6.958","158.410","88.650","14.511","12.729","0.533","0.050","0.343","0.022","1983","65.07","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"872","18.681","33.269","1.457","5.220","4.909","6.929","185.130","107.261","15.484","16.658","0.553","0.050","0.201","0.024","1389","65.14","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"873","18.700","15.371","2.256","5.093","6.704","6.908","156.870","96.280","16.814","13.185","0.500","0.053","0.228","0.025","1736","71.01","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"874","19.235","25.332","2.305","5.479","4.866","7.069","102.180","59.653","15.219","5.258","0.520","0.050","0.201","0.025","1410","71.65","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"875","17.917","16.177","1.090","5.828","3.357","8.157","113.387","71.891","16.828","7.254","0.508","0.063","0.238","0.026","1247","60.89","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"876","19.139","16.046","2.358","5.128","3.433","8.127","164.323","84.027","12.357","12.912","0.564","0.050","0.201","0.026","1979","70.32","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"877","17.827","15.701","2.289","5.501","6.205","6.973","197.264","357.560","81.467","37.430","0.513","0.061","0.341","0.022","2215","71.05","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"878","19.122","17.490","1.738","5.530","3.293","8.183","111.495","76.635","18.402","7.451","0.569","0.070","0.201","0.021","1739","65.21","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"879","18.093","20.396","2.454","5.580","3.245","8.202","108.040","369.334","98.249","30.113","0.516","0.050","0.352","0.020","1361","70.50","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"880","17.886","32.290","2.068","5.155","3.285","8.186","111.916","49.331","10.938","5.347","0.511","0.050","0.201","0.026","2623","68.28","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"881","18.943","21.488","1.267","5.253","6.558","6.957","107.160","43.516","10.087","4.451","0.516","0.050","0.214","0.024","1439","64.10","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"882","19.165","37.195","1.792","5.306","7.000","6.986","113.963","63.467","14.457","6.646","0.523","0.058","0.368","0.025","1542","67.77","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"883","18.136","16.857","1.175","5.041","6.437","6.909","297.059","423.566","84.153","51.830","0.550","0.053","0.290","0.026","1553","63.23","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"884","19.051","26.927","1.495","5.001","3.484","8.106","247.161","122.813","10.250","23.608","0.552","0.059","0.202","0.026","1651","64.49","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"885","18.055","20.235","1.069","5.018","4.490","6.935","206.923","234.684","46.696","28.675","0.522","0.061","0.264","0.026","1697","62.72","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"886","17.541","35.111","1.196","5.433","3.266","8.194","115.932","153.786","38.634","13.919","0.556","0.051","0.217","0.026","2256","61.65","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"887","19.399","16.543","1.202","5.146","3.244","8.202","173.757","437.271","106.649","41.517","0.570","0.050","0.346","0.025","2295","61.84","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"888","19.683","33.534","1.449","5.696","3.283","8.187","102.033","52.691","13.354","4.698","0.519","0.050","0.201","0.026","1675","63.41","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"889","17.670","26.828","1.279","5.989","5.684","6.921","108.243","101.198","25.553","9.080","0.546","0.050","0.372","0.021","2106","63.20","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"890","19.137","30.793","1.834","5.764","6.358","6.897","292.036","245.060","36.543","37.351","0.548","0.066","0.351","0.026","1415","67.06","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"891","19.806","18.615","2.179","5.112","3.417","8.133","289.862","207.973","26.823","34.239","0.547","0.069","0.202","0.024","2036","69.02","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"892","19.555","20.770","2.290","5.069","6.191","6.927","240.413","180.016","26.780","27.476","0.540","0.050","0.201","0.025","2518","71.17","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"893","18.776","23.075","1.556","5.274","4.568","6.976","101.222","300.268","80.571","24.061","0.532","0.064","0.373","0.026","1916","66.01","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"894","18.381","18.743","1.262","5.665","6.772","6.954","114.173","134.295","33.620","12.226","0.564","0.058","0.330","0.024","2294","63.38","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"895","17.762","15.754","1.219","5.771","3.311","8.176","294.711","168.647","15.427","31.599","0.502","0.055","0.274","0.025","1976","61.84","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"896","18.775","21.016","2.079","5.173","6.644","6.910","116.706","102.868","24.717","9.993","0.541","0.050","0.201","0.026","1743","69.51","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"897","18.944","31.649","1.575","5.159","5.301","6.946","300.000","321.447","56.031","44.084","0.565","0.050","0.201","0.024","1956","66.04","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"898","19.560","20.187","1.572","5.404","3.277","8.189","102.377","412.978","110.940","33.016","0.548","0.054","0.327","0.026","1477","64.35","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"899","18.547","34.942","2.072","5.087","3.223","8.211","109.220","259.417","68.282","21.592","0.524","0.057","0.325","0.022","1589","68.14","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"900","19.472","32.507","2.370","5.672","3.269","8.192","210.855","269.100","55.424","31.740","0.575","0.065","0.201","0.021","2142","69.46","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"901","19.268","16.694","1.233","5.492","3.259","8.197","113.290","573.451","152.765","46.624","0.516","0.063","0.338","0.026","2705","61.97","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"902","19.343","31.202","1.466","5.110","6.363","7.043","190.359","659.599","164.371","60.506","0.555","0.066","0.202","0.025","2349","65.70","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"903","18.301","23.885","1.609","5.385","3.428","8.129","111.935","527.718","140.578","42.908","0.511","0.050","0.304","0.026","2500","65.12","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"904","19.942","18.053","1.701","5.176","3.419","8.133","154.578","64.600","8.577","10.486","0.519","0.065","0.201","0.020","2777","65.79","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"905","18.550","26.472","1.542","5.017","6.769","6.957","102.676","432.962","116.310","34.613","0.550","0.065","0.201","0.021","1822","65.96","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"906","19.129","31.566","1.609","5.213","3.225","8.210","244.743","546.425","125.417","56.644","0.511","0.064","0.237","0.024","1647","64.81","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"907","19.383","19.801","1.608","5.652","3.268","8.193","236.703","527.444","121.498","54.411","0.511","0.065","0.344","0.026","2507","64.48","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"908","17.660","24.837","2.016","5.323","6.319","7.039","115.831","497.731","131.858","40.913","0.521","0.050","0.201","0.022","1498","69.62","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"909","19.392","20.320","1.642","5.800","6.512","6.982","113.159","453.828","120.367","37.220","0.523","0.050","0.289","0.026","1470","66.31","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
